"ProcessName","PID","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"StartMenuExperienceHost","22680","10.0.204.130","65339","52.110.6.5","443","Established"
"msedgewebview2","15912","10.0.204.130","65176","52.123.190.204","443","Established"
"svchost","5864","10.0.204.130","65044","104.208.203.89","443","Established"
"svchost","23996","10.0.204.130","65007","20.190.155.131","443","Established"
"msedgewebview2","15912","10.0.204.130","61919","52.111.227.0","443","Established"
"msedge","23004","10.0.204.130","59854","23.205.110.42","443","Established"
"msedge","23004","10.0.204.130","59396","185.199.109.133","443","Established"
"msedgewebview2","15912","10.0.204.130","59081","52.111.227.0","443","Established"
"msedge","23004","10.0.204.130","59045","20.42.73.31","443","Established"
"msedge","23004","10.0.204.130","58443","185.199.109.154","443","Established"
"GitHubDesktop","19524","10.0.204.130","57649","140.82.113.26","443","Established"
"OneDrive","23820","10.0.204.130","57398","104.208.203.89","443","Established"
"msedgewebview2","15912","10.0.204.130","57195","104.208.16.91","443","Established"
"OneDrive","23820","10.0.204.130","56903","13.69.239.73","443","Established"
"OneDrive","23820","10.0.204.130","56902","52.104.80.25","443","Established"
"OneDrive","23820","10.0.204.130","56901","13.107.137.11","443","Established"
"Code","10656","127.0.0.1","56898","127.0.0.1","3978","Established"
"Code","12056","10.0.204.130","56897","150.171.73.16","443","Established"
"Code","12056","10.0.204.130","56894","13.107.246.57","443","Established"
"mc-fw-host","2816","10.0.204.130","56669","100.20.52.140","443","Established"
"msedgewebview2","15912","10.0.204.130","56502","52.111.227.0","443","Established"
"Code","12056","10.0.204.130","56247","13.69.239.73","443","Established"
"msedge","23004","10.0.204.130","55001","140.82.113.26","443","Established"
"ms-teams_modulehost","3316","10.0.204.130","54728","52.123.190.181","443","Established"
"msedge","23004","10.0.204.130","51224","140.82.112.21","443","Established"
"msedgewebview2","15912","10.0.204.130","50668","52.123.129.14","443","Established"
"GitHubDesktop","19524","10.0.204.130","49680","185.199.109.133","443","Established"
"NVDisplay.Container","3736","127.0.0.1","49677","127.0.0.1","49676","Established"
"NVDisplay.Container","3736","127.0.0.1","49676","127.0.0.1","49677","Established"
"WUDFHost","1860","127.0.0.1","49675","127.0.0.1","49674","Established"
"WUDFHost","1860","127.0.0.1","49674","127.0.0.1","49675","Established"
"msedge","23004","10.0.204.130","49669","135.234.174.40","443","Established"
"svchost","5864","10.0.204.130","49445","104.208.203.99","443","Established"
"Code","9968","127.0.0.1","3978","127.0.0.1","56898","Established"
